"Add New Vendor","Add New Vendor"
"Back","Back"
"Client Managed","Client Managed"
"Delete","Delete"
"Disabled","Disabled"
"Edit Vendor","Edit Vendor"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"ID","ID"
"Multiplier","Multiplier"
"Name","Name"
"New Vendor","New Vendor"
"No","No"
"Reset","Reset"
"Sales","Sales"
"Save and Continue Edit","Save and Continue Edit"
"Save Vendor","Save Vendor"
"Something went wrong while saving the vendor.","Something went wrong while saving the vendor."
"Status","Status"
"Telephone","Telephone"
"This vendor no longer exists.","This vendor no longer exists."
"Vendor Information","Vendor Information"
"Vendor Portal","Vendor Portal"
"Vendors","Vendors"
"We can't find a vendor to delete.","We can't find a vendor to delete."
"Yes","Yes"
"You deleted the vendor.","You deleted the vendor."
"You saved the vendor.","You saved the vendor."
